Cell	Embryo	Stage	Group	Method	Run	Exclude	Position	Library
C1	E1	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_001
C2	E1	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_002
C3	E2	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_003
C4	E2	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_004
C5	NEG	2-cell	0	Strand-seq	Run1	NEG	NEG	EWK161215_I_005
C6	NEG	2-cell	0	Strand-seq	Run1	NEG	NEG	EWK161215_I_006
C7	E3	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_007
C8	E3	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_008
C9	E4	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_009
C10	E4	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_010
C11	E5	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_011
C12	E5	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_012
C13	E6	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_013
C14	E6	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_014
C15	E7	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_015
C16	E7	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_016
C17	E8	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_017
C18	E8	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_018
C19	E9	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_019
C20	E9	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_020
C21	E10	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_021
C22	E10	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_022
C23	E11	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_023
C24	E11	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_024
C25	E12	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_025
C26	E12	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_026
C27	E13	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_027
C28	E13	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_028
C29	E14	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_029
C30	E14	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_030
C31	E15	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_031
C32	E15	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_032
C33	E16	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_033
C34	E16	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_034
C35	E16	2-cell	0	Strand-seq	Run1	No	3	EWK161215_I_035
C36	E17	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_036
C37	E17	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_037
C38	E17	2-cell	0	Strand-seq	Run1	No	3	EWK161215_I_038
C39	E18	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_039
C40	E18	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_040
C41	E19	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_041
C42	E19	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_042
C43	E19	2-cell	0	Strand-seq	Run1	No	3	EWK161215_I_043
C44	E20	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_044
C45	E20	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_045
C46	E21	2-cell	0	Strand-seq	Run1	No	1	EWK161215_I_046
C47	E21	2-cell	0	Strand-seq	Run1	No	2	EWK161215_I_047
C48	E21	2-cell	0	Strand-seq	Run1	No	3	EWK161215_I_048
C49	E34	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_049
C50	E34	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_050
C51	E34	2-cell	2.5	Strand-seq	Run1	No	3	EWK161215_I_051
C52	E35	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_052
C53	E35	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_053
C54	E36	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_054
C55	E36	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_055
C56	E37	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_056
C57	E37	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_057
C58	E38	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_058
C59	E38	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_059
C60	E39	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_060
C61	E39	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_061
C62	E40	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_062
C63	E40	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_063
C64	E41	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_064
C65	E41	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_065
C66	E42	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_066
C67	E42	2-cell	2.5	Strand-seq	Run1	No	2	EWK161215_I_067
C68	E43	2-cell	2.5	Strand-seq	Run1	No	1	EWK161215_I_068
